"SampleId","PopId","SubPopId"
"ENPAK19","ENP","AK"
"ENPAK20","ENP","AK"
"ENPAK21","ENP","AK"
"ENPAK22","ENP","AK"
"ENPAK23","ENP","AK"
"ENPAK24","ENP","AK"
"ENPAK25","ENP","AK"
"ENPAK26","ENP","AK"
"ENPAK27","ENP","AK"
"ENPAK28","ENP","AK"
"ENPAK29","ENP","AK"
"ENPAK30","ENP","AK"
"ENPBC16","ENP","BC"
"ENPBC17","ENP","BC"
"ENPBC18","ENP","BC"
"ENPCA01","ENP","CA"
"ENPCA02","ENP","CA"
"ENPCA03","ENP","CA"
"ENPCA04","ENP","CA"
"ENPCA05","ENP","CA"
"ENPCA06","ENP","CA"
"ENPCA07","ENP","CA"
"ENPCA08","ENP","CA"
"ENPCA09","ENP","CA"
"ENPOR10","ENP","OR"
"ENPOR11","ENP","OR"
"ENPOR12","ENP","OR"
"ENPOR13","ENP","OR"
"ENPWA14","ENP","WA"
"ENPWA15","ENP","WA"
"GOC002","GOC","GOC"
"GOC006","GOC","GOC"
"GOC010","GOC","GOC"
"GOC025","GOC","GOC"
"GOC038","GOC","GOC"
"GOC050","GOC","GOC"
"GOC053","GOC","GOC"
"GOC063","GOC","GOC"
"GOC068","GOC","GOC"
"GOC071","GOC","GOC"
"GOC077","GOC","GOC"
"GOC080","GOC","GOC"
"GOC082","GOC","GOC"
"GOC086","GOC","GOC"
"GOC091","GOC","GOC"
"GOC100","GOC","GOC"
"GOC111","GOC","GOC"
"GOC112","GOC","GOC"
"GOC116","GOC","GOC"
"GOC125","GOC","GOC"
