"","SampleId","GenomeHet"
"1","ENPAK19",0.00175842305946873
"2","ENPAK20",0.00174376590843583
"3","ENPAK21",0.00176204753537912
"4","ENPAK22",0.00176288940359363
"5","ENPAK23",0.00174967019357134
"6","ENPAK24",0.00174671306963459
"7","ENPAK25",0.00175603245622062
"8","ENPAK26",0.00174737133165116
"9","ENPAK27",0.00177255956594857
"10","ENPAK28",0.00171085885099494
"11","ENPAK29",0.00175661208744874
"12","ENPAK30",0.00175333716559469
"13","ENPBC16",0.0017844216529929
"14","ENPBC17",0.0017872029505572
"15","ENPBC18",0.00178771671312656
"16","ENPCA01",0.00171552111416379
"17","ENPCA02",0.00178076642976858
"18","ENPCA03",0.00177149130411112
"19","ENPCA04",0.0017713986461652
"20","ENPCA05",0.00171220499768138
"21","ENPCA06",0.00175081536484912
"22","ENPCA07",0.00176816001104189
"23","ENPCA08",0.001719704233008
"24","ENPCA09",0.00177299367266253
"25","ENPOR10",0.00178019948457928
"26","ENPOR11",0.00178111244122368
"27","ENPOR12",0.00184446140414199
"28","ENPOR13",0.0017809771105236
"29","ENPWA14",0.00178234361537457
"30","ENPWA15",0.00180228671992479
"31","GOC002",0.00103535988718978
"32","GOC006",0.00113108162455019
"33","GOC010",0.00177827796262567
"34","GOC025",0.00109829629911853
"35","GOC038",0.00108777534761074
"36","GOC050",0.00108956143639627
"37","GOC053",0.00112527318644468
"38","GOC063",0.00116529471846515
"39","GOC068",0.0010860997986859
"40","GOC071",0.00110589834367434
"41","GOC077",0.00114930097654267
"42","GOC080",0.00108854922908928
"43","GOC082",0.0010772978435082
"44","GOC086",0.00105535242737284
"45","GOC091",0.00106824920750572
"46","GOC100",0.00104558234557528
"47","GOC111",0.00108173472616964
"48","GOC112",0.0010770839782644
"49","GOC116",0.00104661566275659
"50","GOC125",0.00119508257396879
