"","gen","popSize","meanFitness","meanHet","FROH_500kb","FROH_1Mb","avgvStrDel","avgStrDel","avgModDel","avgWkDel","rep","model","pop","geneticLoad"
"1",169422,23913,0.974035,0.00146232,0,0,0.875,23.875,30.275,250.575,1,"pre-bott","ENP",0.025965
"2",169422,23913,0.971677,0.00147255,0,0,0.675,24.65,34.475,280.85,2,"pre-bott","ENP",0.028323
"3",169422,23913,0.972225,0.00149574,0,0,0.875,25.2,30.975,298.125,3,"pre-bott","ENP",0.027775
"4",169422,23913,0.971353,0.00149746,0,0,0.675,24.975,31.9,295.05,4,"pre-bott","ENP",0.028647
"5",169422,23913,0.973121,0.00146808,0,0,1.075,25.4,30.6,279.7,5,"pre-bott","ENP",0.026879
"6",169422,23913,0.971862,0.00150342,0.00222327,0,1.35,23.3,30.275,278.3,6,"pre-bott","ENP",0.028138
"7",169422,23913,0.971292,0.00149951,0,0,1,24.9,35.225,291.55,7,"pre-bott","ENP",0.028708
"8",169422,23913,0.970498,0.0014787,0.00207395,0,1.675,27.025,30.85,288.075,8,"pre-bott","ENP",0.029502
"9",169422,23913,0.972768,0.00148224,0.00391642,0.00391642,1.425,28.1,28.45,271.025,9,"pre-bott","ENP",0.027232
"10",169422,23913,0.97222,0.00146648,0,0,1.35,26.375,30.925,281.325,10,"pre-bott","ENP",0.02778
"11",169422,23913,0.970382,0.00146482,0,0,1.25,26.025,34.4,292.75,11,"pre-bott","ENP",0.029618
"12",169422,23913,0.971387,0.0014556,0,0,1.3,26.025,32.875,298.325,12,"pre-bott","ENP",0.028613
"13",169422,23913,0.970733,0.0014767,0,0,0.85,25.625,32,287.25,13,"pre-bott","ENP",0.029267
"14",169422,23913,0.971346,0.00149657,0,0,1.125,27.425,29.225,289.975,14,"pre-bott","ENP",0.028654
"15",169422,23913,0.97111,0.00146445,0,0,1.075,26.775,30.125,309.275,15,"pre-bott","ENP",0.02889
"16",169422,23913,0.972371,0.00143196,0,0,1.35,24.425,31.025,266.375,16,"pre-bott","ENP",0.027629
"17",169422,23913,0.973407,0.00145376,0,0,1.225,27.15,28.775,277.85,17,"pre-bott","ENP",0.026593
"18",169422,23913,0.970009,0.00145174,0,0,1.05,26.175,35.2,320.575,18,"pre-bott","ENP",0.029991
"19",169422,23913,0.97265,0.00145963,0,0,0.95,25.725,33.8,257.475,19,"pre-bott","ENP",0.02735
"20",169422,23913,0.970566,0.00148595,0.00169516,0,1.125,26,34.9,321.05,20,"pre-bott","ENP",0.029434
"21",169422,23913,0.971843,0.00148072,0,0,1.175,26.25,30.25,290.95,21,"pre-bott","ENP",0.028157
"22",169422,23913,0.971703,0.00144995,0,0,1.225,25.85,31.3,298.525,22,"pre-bott","ENP",0.028297
"23",169422,23913,0.971252,0.00144796,0,0,1.225,24.275,32.175,306.125,23,"pre-bott","ENP",0.028748
"24",169422,23913,0.97178,0.00139892,0.00299587,0,0.775,23.45,29.825,291.975,24,"pre-bott","ENP",0.02822
"25",169422,23913,0.971263,0.00145383,0.00264542,0,1.125,26.75,32.15,268.35,25,"pre-bott","ENP",0.028737
"26",169424,305,0.97513,0.00146784,0,0,1.3,25.65,31.875,254.275,1,"2 gens","ENP",0.0248699999999999
"27",169424,305,0.96952,0.00143657,0.0250125,0.0250125,1.15,25.55,34.575,282.55,2,"2 gens","ENP",0.03048
"28",169424,305,0.969114,0.00148839,0,0,0.95,25.475,31.275,303.15,3,"2 gens","ENP",0.030886
"29",169424,305,0.968123,0.00150219,0,0,0.95,26.85,31.875,305.425,4,"2 gens","ENP",0.031877
"30",169424,305,0.97271,0.0014651,0,0,1.05,26.025,29.925,283.025,5,"2 gens","ENP",0.02729
"31",169424,305,0.97008,0.00149499,0,0,1.125,23.975,31.925,278.25,6,"2 gens","ENP",0.0299199999999999
"32",169424,305,0.970341,0.00150469,0,0,1.25,26.825,35.425,290.1,7,"2 gens","ENP",0.029659
"33",169424,305,0.966522,0.00148664,0,0,1.55,28.1,32.775,286.75,8,"2 gens","ENP",0.033478
"34",169424,305,0.972307,0.00145608,0.00228295,0,1.25,27.575,30.125,265.275,9,"2 gens","ENP",0.027693
"35",169424,305,0.971152,0.00145177,0,0,1.325,26.425,32.025,280.9,10,"2 gens","ENP",0.028848
"36",169424,305,0.971385,0.00145658,0,0,1.35,27.05,33.55,288.55,11,"2 gens","ENP",0.0286149999999999
"37",169424,305,0.972366,0.00146715,0,0,1.2,24.975,32.075,296.55,12,"2 gens","ENP",0.027634
"38",169424,305,0.965798,0.00144902,0.0098409,0.00835272,0.825,26.25,32.1,289.55,13,"2 gens","ENP",0.034202
"39",169424,305,0.970677,0.00147864,0.010036,0.010036,1.25,26.825,29.375,288.35,14,"2 gens","ENP",0.029323
"40",169424,305,0.969629,0.0014356,0,0,1.05,25.65,28.925,308.475,15,"2 gens","ENP",0.030371
"41",169424,305,0.97009,0.00144342,0,0,1.325,25.875,29.375,267.35,16,"2 gens","ENP",0.02991
"42",169424,305,0.973472,0.00146595,0,0,0.825,25.85,30.975,280.25,17,"2 gens","ENP",0.026528
"43",169424,305,0.969035,0.00144825,0,0,1.075,28.775,33.775,324.325,18,"2 gens","ENP",0.030965
"44",169424,305,0.972688,0.00143444,0.00188976,0,1.15,26.35,33.975,255.65,19,"2 gens","ENP",0.027312
"45",169424,305,0.968546,0.00147177,0.00355541,0,1.275,25.5,35.275,318.075,20,"2 gens","ENP",0.031454
"46",169424,305,0.97167,0.00146295,0,0,1.1,26.875,29.925,289.25,21,"2 gens","ENP",0.02833
"47",169424,305,0.971733,0.00144597,0,0,1.15,22.925,31.95,296.675,22,"2 gens","ENP",0.028267
"48",169424,305,0.972261,0.00145324,0,0,1.35,25.075,32.7,304.7,23,"2 gens","ENP",0.027739
"49",169424,305,0.970864,0.00143262,0.00199928,0,0.775,24.475,30.35,291.15,24,"2 gens","ENP",0.0291360000000001
"50",169424,305,0.970339,0.00146109,0,0,0.9,27.15,32.05,264.4,25,"2 gens","ENP",0.029661
"51",169442,305,0.96226,0.00140686,0.0341871,0.0316554,1.525,25.6,34.925,249.85,1,"20 gens","ENP",0.03774
"52",169442,305,0.960698,0.00141934,0.0346658,0.0328089,0.975,23.7,36.6,286.175,2,"20 gens","ENP",0.0393019999999999
"53",169442,305,0.954427,0.00142578,0.0439347,0.0362722,1.075,25.325,29.2,300.675,3,"20 gens","ENP",0.045573
"54",169442,305,0.967607,0.00147573,0.0250243,0.0203461,1.275,24.375,35.125,299.25,4,"20 gens","ENP",0.032393
"55",169442,305,0.961707,0.00143459,0.0166779,0.00939231,1.65,25.5,30.025,282.875,5,"20 gens","ENP",0.038293
"56",169442,305,0.958405,0.00143262,0.0407997,0.0351608,1.325,24.6,32.025,279.4,6,"20 gens","ENP",0.041595
"57",169442,305,0.959614,0.00144342,0.0469628,0.0392912,0.85,24.65,33.6,286.425,7,"20 gens","ENP",0.040386
"58",169442,305,0.960505,0.00134665,0.0905846,0.0746578,1.25,25.125,32.45,289,8,"20 gens","ENP",0.0394949999999999
"59",169442,305,0.960531,0.00144274,0.00634383,0.00256892,1.15,28.475,28.825,267,9,"20 gens","ENP",0.039469
"60",169442,305,0.963955,0.0013689,0.0655017,0.0512405,0.95,23.525,29.9,277.375,10,"20 gens","ENP",0.036045
"61",169442,305,0.954,0.00143943,0.00669964,0.00466429,1.65,28.325,31.2,292.55,11,"20 gens","ENP",0.046
"62",169442,305,0.955882,0.00139578,0.0346573,0.0305069,1.475,26.75,32,293.3,12,"20 gens","ENP",0.044118
"63",169442,305,0.960483,0.00144881,0.0181752,0.0123115,1.075,26.4,33.075,294.05,13,"20 gens","ENP",0.039517
"64",169442,305,0.959469,0.00140804,0.0620762,0.0545566,1.625,27.125,28.05,284.175,14,"20 gens","ENP",0.040531
"65",169442,305,0.964473,0.00143395,0.0148494,0.0134677,0.825,24.825,26.375,301.625,15,"20 gens","ENP",0.035527
"66",169442,305,0.964593,0.00141174,0.0234316,0.0159866,0.725,24.325,27.35,269.6,16,"20 gens","ENP",0.035407
"67",169442,305,0.961213,0.00141513,0.0177431,0.0130633,1.425,27.375,32.7,276.75,17,"20 gens","ENP",0.038787
"68",169442,305,0.959261,0.00143316,0.0170905,0.0138552,1.275,27.375,36.3,324.475,18,"20 gens","ENP",0.040739
"69",169442,305,0.958163,0.00136058,0.0672357,0.0619486,1.1,26.15,31.875,250.575,19,"20 gens","ENP",0.041837
"70",169442,305,0.955713,0.00146081,0.0169783,0.0154124,1.4,25.675,38.6,322.05,20,"20 gens","ENP",0.044287
"71",169442,305,0.965654,0.00144652,0.0152804,0.0076562,0.55,25,29.95,295.125,21,"20 gens","ENP",0.034346
"72",169442,305,0.960421,0.00134678,0.0589052,0.0537293,1.15,23.25,32.35,291.2,22,"20 gens","ENP",0.039579
"73",169442,305,0.962366,0.00139857,0.0370417,0.0330393,1.2,24.15,32.9,308.6,23,"20 gens","ENP",0.0376339999999999
"74",169442,305,0.965348,0.00142486,0.00321159,0.00321159,0.475,22,30.575,292.1,24,"20 gens","ENP",0.034652
"75",169442,305,0.96417,0.00145224,0.00552833,0.00379561,0.825,27.225,31.925,263.475,25,"20 gens","ENP",0.03583
"76",169442,1000,0.96896,0.00148171,0.001625,0,1.125,25.575,30.675,313.45,1,"20 gens w/ recov","ENP",0.03104
"77",169442,1000,0.966557,0.00149213,0.00673963,0.00673963,1.35,24.725,30.7,299.125,2,"20 gens w/ recov","ENP",0.033443
"78",169442,1000,0.962465,0.00149102,0.00474805,0.00337081,1.375,27.375,34.05,307.675,3,"20 gens w/ recov","ENP",0.037535
"79",169442,1000,0.965459,0.00147458,0,0,1.3,24.85,29.6,326.725,4,"20 gens w/ recov","ENP",0.034541
"80",169442,1000,0.969849,0.00142269,0.0116865,0.00779179,1,25.025,29.55,304.5,5,"20 gens w/ recov","ENP",0.030151
"81",169442,1000,0.968543,0.00145032,0,0,0.5,25.325,32.6,299.45,6,"20 gens w/ recov","ENP",0.031457
"82",169442,1000,0.967971,0.00143734,0.00385154,0,1.075,25.575,31.275,306.9,7,"20 gens w/ recov","ENP",0.032029
"83",169442,1000,0.965358,0.00142531,0.0305667,0.0273314,1.125,26.025,30.1,284.6,8,"20 gens w/ recov","ENP",0.034642
"84",169442,1000,0.965785,0.00146032,0.00596197,0.00328234,1.225,25.35,32.425,279.65,9,"20 gens w/ recov","ENP",0.034215
"85",169442,1000,0.964908,0.00144422,0.00408037,0,1.4,27.5,34.725,289.625,10,"20 gens w/ recov","ENP",0.035092
"86",169442,1000,0.968168,0.00147151,0.0135199,0.0104362,1.175,28.35,27.925,273.95,11,"20 gens w/ recov","ENP",0.031832
"87",169442,1000,0.970643,0.00143295,0.0208557,0.0176809,1.175,25.375,32.225,284.325,12,"20 gens w/ recov","ENP",0.029357
"88",169442,1000,0.966537,0.00145282,0.0300642,0.0281217,1.475,26.475,32.9,291.2,13,"20 gens w/ recov","ENP",0.033463
"89",169442,1000,0.966749,0.0014563,0.0235859,0.0199413,1.375,28.5,35.2,295.25,14,"20 gens w/ recov","ENP",0.033251
"90",169442,1000,0.968291,0.00149625,0.00221381,0,0.725,22.95,31.925,312.15,15,"20 gens w/ recov","ENP",0.031709
"91",169442,1000,0.96831,0.00147656,0.002317,0,1.575,24.325,27.775,293.35,16,"20 gens w/ recov","ENP",0.03169
"92",169442,1000,0.968709,0.0014838,0,0,1.075,26.55,29.35,312.675,17,"20 gens w/ recov","ENP",0.031291
"93",169442,1000,0.965991,0.0014316,0.0216021,0.0185324,1.125,26.175,37.675,278.6,18,"20 gens w/ recov","ENP",0.034009
"94",169442,1000,0.969267,0.00146656,0.00368203,0,1.1,26.575,30.975,267.875,19,"20 gens w/ recov","ENP",0.030733
"95",169442,1000,0.969347,0.00147348,0,0,0.95,27.2,30.075,278.1,20,"20 gens w/ recov","ENP",0.030653
"96",169442,1000,0.963191,0.00145281,0.0172469,0.0121302,1.275,27.6,34.6,302.2,21,"20 gens w/ recov","ENP",0.036809
"97",169442,1000,0.971316,0.00150433,0.00948444,0.00588699,1.225,25.425,27.475,293.525,22,"20 gens w/ recov","ENP",0.028684
"98",169442,1000,0.970163,0.00154786,0,0,1.25,23.575,27.85,304.625,23,"20 gens w/ recov","ENP",0.029837
"99",169442,1000,0.967498,0.00146178,0.0218579,0.00667717,1,22.9,30.175,274.875,24,"20 gens w/ recov","ENP",0.032502
"100",169442,1000,0.966829,0.00148018,0,0,1.65,27.825,34.525,296.2,25,"20 gens w/ recov","ENP",0.033171
